Lifelog,MH_Score,r,p,n
a01_mean,PHQ9_Score,-0.03439517335600718,0.0824695812249399,2550
a01_mean,GAD7_Score,-0.02877576672991697,0.14630891968734847,2550
a01_mean,ISI_Score,-0.05185774996544625,0.008814494640445258,2550
a01_mean,Loneliness_Score,-0.03368797223143966,0.08897907502010081,2550
a01_mean,WHOQOL_Score,0.046598279317643265,0.018611502833962314,2550
a02_mean,PHQ9_Score,-0.0035369338112746966,0.8583150956249841,2550
a02_mean,GAD7_Score,-0.003579834284510943,0.8566150569903693,2550
a02_mean,ISI_Score,-0.0016467212312361273,0.9337603924328471,2550
a02_mean,Loneliness_Score,0.015487799864840661,0.4343562353899671,2550
a02_mean,WHOQOL_Score,0.0048072675893934946,0.8082862351277735,2550
a03_mean,PHQ9_Score,0.09327019997697508,2.4157632122291455e-06,2547
a03_mean,GAD7_Score,0.0686970032334257,0.0005216522069030633,2547
a03_mean,ISI_Score,0.08360833939695855,2.390922551376556e-05,2547
a03_mean,Loneliness_Score,0.08505726269707732,1.7208378779279953e-05,2547
a03_mean,WHOQOL_Score,-0.07672402733940231,0.00010622826861900989,2547
a04_mean,PHQ9_Score,0.08286115002702622,2.827035544616032e-05,2547
a04_mean,GAD7_Score,0.05523818480945807,0.005295096247258415,2547
a04_mean,ISI_Score,0.0793729493756415,6.0682611623868616e-05,2547
a04_mean,Loneliness_Score,0.08319596391979367,2.62300848799604e-05,2547
a04_mean,WHOQOL_Score,-0.04100796017584321,0.038505139298890004,2547
a05_mean,PHQ9_Score,0.09163050085973731,3.623820475312364e-06,2547
a05_mean,GAD7_Score,0.06557069876840338,0.000929137534409156,2547
a05_mean,ISI_Score,0.10099688544536976,3.261830913508117e-07,2547
a05_mean,Loneliness_Score,0.07593620031859807,0.00012505847853536403,2547
a05_mean,WHOQOL_Score,-0.050600022065401346,0.010647646002088808,2547
a06_mean,PHQ9_Score,0.06458800773699723,0.006749008661716076,1758
a06_mean,GAD7_Score,0.0313176039472439,0.18935538078876807,1758
a06_mean,ISI_Score,0.07878592930364166,0.0009458163859745524,1758
a06_mean,Loneliness_Score,0.06160758940696308,0.009773780756379944,1758
a06_mean,WHOQOL_Score,-0.046122711071597385,0.0531733940310275,1758
a07_mean,PHQ9_Score,0.07617950900994144,0.000118931237684046,2547
a07_mean,GAD7_Score,0.06310087744671003,0.0014416719028602708,2547
a07_mean,ISI_Score,0.06220240699361178,0.0016853315258473507,2547
a07_mean,Loneliness_Score,0.08849883087293554,7.715566150384526e-06,2547
a07_mean,WHOQOL_Score,-0.07065323211826852,0.00035913556785722,2547
a08_mean,PHQ9_Score,0.024350542439919368,0.24471698505065775,2284
a08_mean,GAD7_Score,0.029287284980667044,0.161750385958575,2284
a08_mean,ISI_Score,-0.02344426203511233,0.2627264250074394,2284
a08_mean,Loneliness_Score,-0.022038328217166798,0.2924373792780158,2284
a08_mean,WHOQOL_Score,-0.0334320292010054,0.11019237618055204,2284
a09_mean,PHQ9_Score,0.07012376159432591,0.0007211572013941991,2322
a09_mean,GAD7_Score,0.0484342697878216,0.01959458019175238,2322
a09_mean,ISI_Score,0.08775185246766434,2.2915885421629668e-05,2322
a09_mean,Loneliness_Score,0.047884320266780606,0.0210275518655073,2322
a09_mean,WHOQOL_Score,-0.03128316131874519,0.13180987750062553,2322
a10_mean,PHQ9_Score,0.08895463332224496,6.922516374165076e-06,2547
a10_mean,GAD7_Score,0.06179638745496612,0.0018074070929477218,2547
a10_mean,ISI_Score,0.08739435880355138,1.0013121107438001e-05,2547
a10_mean,Loneliness_Score,0.08496191103592197,1.7587696881976668e-05,2547
a10_mean,WHOQOL_Score,-0.05116191211385492,0.009810057351138136,2547
a11_mean,PHQ9_Score,-0.020350345520814626,0.30573333419850474,2535
a11_mean,GAD7_Score,-0.02460195201446811,0.2156215854496075,2535
a11_mean,ISI_Score,-0.01016144602646285,0.6090868772137354,2535
a11_mean,Loneliness_Score,-0.032010301082721536,0.10711484755968095,2535
a11_mean,WHOQOL_Score,0.069156024777968,0.0004932851907240495,2535
a14_mean,PHQ9_Score,0.008685928981111934,0.6757039931059643,2322
a14_mean,GAD7_Score,0.009896954360053145,0.6336037129668146,2322
a14_mean,ISI_Score,-0.0018384224479899704,0.9294469498021846,2322
a14_mean,Loneliness_Score,-0.0031985638770117837,0.8775726527261645,2322
a14_mean,WHOQOL_Score,-0.0017983264944964495,0.9309818262435097,2322
a15_mean,PHQ9_Score,0.09092848108611926,4.301986092648365e-06,2547
a15_mean,GAD7_Score,0.06339765758688402,0.0013686081618007188,2547
a15_mean,ISI_Score,0.09294544890952783,2.6191952251627127e-06,2547
a15_mean,Loneliness_Score,0.08298226267629089,2.7515509754149814e-05,2547
a15_mean,WHOQOL_Score,-0.051147600261138224,0.009830641221648971,2547
a16_mean,PHQ9_Score,0.07216532885942689,0.0005466870497587197,2291
a16_mean,GAD7_Score,0.04750866861015417,0.022964991258710127,2291
a16_mean,ISI_Score,0.09257288767214868,9.077363483961894e-06,2291
a16_mean,Loneliness_Score,0.04758345204064806,0.02275041205675494,2291
a16_mean,WHOQOL_Score,-0.03155217455907389,0.13110025354480506,2291
a17_mean,PHQ9_Score,0.03858417145053217,0.06423900713745649,2301
a17_mean,GAD7_Score,0.023955596766855606,0.25069611855318574,2301
a17_mean,ISI_Score,0.04120419132746571,0.048123253463914696,2301
a17_mean,Loneliness_Score,0.041145173229152766,0.04844484840013083,2301
a17_mean,WHOQOL_Score,-0.003675175043383693,0.8601381433725136,2301
