feature,importance
skin_temperature,0.1516401310725773
body_temperature,0.14582733232932255
total_sleep,0.1450126027585641
blood_sugar,0.1446999587982319
light_sleep,0.1396719733700727
walk,0.1354567806108021
deep_sleep,0.11558473273075169
rem_sleep,0.1145805200599945
heart_beat,0.10988803552056507
stick_sensor,0.1009008390799615
hrv,0.08861909534332078
oxygen_saturation,0.07914306472304193
screen_time,0.0738818608185829
moving_distance,0.03172396268461803
lux_sensor,0.00818344782293549
wakeup_time,8.170604001916434e-18
bed_time,0.0
blood_pressure,0.0
