target,method,f1_score,roc_auc,recall,precision
anxiety,Baseline (XGBoost),0.118,0.544,0.22,0.09
anxiety,SMOTE,0.1158129175946547,0.555917329728205,0.1027667984189723,0.1326530612244898
anxiety,Ensemble,0.1014799154334038,0.5489126134772633,0.0948616600790513,0.109090909090909
depression,Baseline (XGBoost),0.129,0.537,0.22,0.1
depression,SMOTE,0.107981220657277,0.5541816457036899,0.0812720848056537,0.1608391608391608
depression,Ensemble,0.1111111111111111,0.5314958877362749,0.1024734982332155,0.1213389121338912
stress,Baseline (XGBoost),0.213,0.54,0.22,0.21
stress,SMOTE,0.1763224181360201,0.5484463393266225,0.1498929336188436,0.2140672782874617
stress,Ensemble,0.1936245572609209,0.5348953011565469,0.1755888650963597,0.2157894736842105
stress,Threshold=0.2,0.2961342086068563,,0.8693790149892934,0.1784615384615384
